date,product,region,price,quantity,revenue
2022-01-31,Laptop,North,20795,112,2329040
2022-01-31,Laptop,South,43158,126,5437908
2022-01-31,Laptop,East,59343,40,2373720
2022-01-31,Laptop,West,59886,141,8443926
2022-01-31,Mobile,North,21850,94,2053900
2022-01-31,Mobile,South,26962,107,2884934
2022-01-31,Mobile,East,49131,123,6043113
2022-01-31,Mobile,West,21023,72,1513656
2022-01-31,Headphones,North,5769,107,617283
2022-01-31,Headphones,South,7433,40,297320
2022-01-31,Headphones,East,22568,77,1737736
2022-01-31,Headphones,West,33693,108,3638844
2022-02-28,Laptop,North,46434,78,3621852
2022-02-28,Laptop,South,23942,34,814028
2022-02-28,Laptop,East,5189,70,363230
2022-02-28,Laptop,West,6899,74,510526
2022-02-28,Mobile,North,6267,83,520161
2022-02-28,Mobile,South,55680,70,3897600
2022-02-28,Mobile,East,46606,40,1864240
2022-02-28,Mobile,West,19502,37,721574
2022-02-28,Headphones,North,15627,108,1687716
2022-02-28,Headphones,South,48323,33,1594659
2022-02-28,Headphones,East,13433,28,376124
2022-02-28,Headphones,West,28897,72,2080584
2022-03-31,Laptop,North,59638,27,1610226
2022-03-31,Laptop,South,49974,54,2698596
2022-03-31,Laptop,East,19541,100,1954100
2022-03-31,Laptop,West,31531,69,2175639
2022-03-31,Mobile,North,8943,21,187803
2022-03-31,Mobile,South,6021,73,439533
2022-03-31,Mobile,East,18417,23,423591
2022-03-31,Mobile,West,45757,63,2882691
2022-03-31,Headphones,North,5161,33,170313
2022-03-31,Headphones,South,37606,67,2519602
2022-03-31,Headphones,East,16534,59,975506
2022-03-31,Headphones,West,29276,101,2956876
2022-04-30,Laptop,North,22262,72,1602864
2022-04-30,Laptop,South,26271,143,3756753
2022-04-30,Laptop,East,44976,34,1529184
2022-04-30,Laptop,West,54216,108,5855328
2022-04-30,Mobile,North,45774,28,1281672
2022-04-30,Mobile,South,59615,148,8823020
2022-04-30,Mobile,East,7027,82,576214
2022-04-30,Mobile,West,10258,100,1025800
2022-04-30,Headphones,North,38159,52,1984268
